,2019-12-31
FreeCashFlow,30972000000.0
RepurchaseOfCapitalStock,-18396000000.0
RepaymentOfDebt,-585000000.0
IssuanceOfDebt,317000000.0
CapitalExpenditure,-23548000000.0
IncomeTaxPaidSupplementalData,8203000000.0
EndCashPosition,18498000000.0
BeginningCashPosition,16701000000.0
EffectOfExchangeRateChanges,-23000000.0
ChangesInCash,1820000000.0
FinancingCashFlow,-23209000000.0
CashFlowFromContinuingFinancingActivities,-23209000000.0
NetOtherFinancingCharges,220000000.0
ProceedsFromStockOptionExercised,-4765000000.0
NetCommonStockIssuance,-18396000000.0
CommonStockPayments,-18396000000.0
NetIssuancePaymentsOfDebt,-268000000.0
NetLongTermDebtIssuance,-268000000.0
LongTermDebtPayments,-585000000.0
LongTermDebtIssuance,317000000.0
InvestingCashFlow,-29491000000.0
CashFlowFromContinuingInvestingActivities,-29491000000.0
NetOtherInvestingChanges,589000000.0
NetInvestmentPurchaseAndSale,-4017000000.0
SaleOfInvestment,98230000000.0
PurchaseOfInvestment,-102247000000.0
NetBusinessPurchaseAndSale,-2515000000.0
PurchaseOfBusiness,-2515000000.0
NetIntangiblesPurchaseAndSale,-2515000000.0
PurchaseOfIntangibles,-2515000000.0
NetPPEPurchaseAndSale,-23548000000.0
PurchaseOfPPE,-23548000000.0
OperatingCashFlow,54520000000.0
CashFlowFromContinuingOperatingActivities,54520000000.0
ChangeInWorkingCapital,819000000.0
ChangeInOtherWorkingCapital,-3091000000.0
ChangeInOtherCurrentAssets,-621000000.0
ChangeInPayablesAndAccruedExpense,8871000000.0
ChangeInAccruedExpense,8443000000.0
ChangeInPayable,428000000.0
ChangeInAccountPayable,428000000.0
ChangeInReceivables,-4340000000.0
ChangesInAccountReceivables,-4340000000.0
OtherNonCashItems,-592000000.0
StockBasedCompensation,10794000000.0
DeferredTax,173000000.0
DeferredIncomeTax,173000000.0
DepreciationAmortizationDepletion,11781000000.0
DepreciationAndAmortization,11781000000.0
AmortizationCashFlow,925000000.0
AmortizationOfIntangibles,925000000.0
Depreciation,10856000000.0
OperatingGainsLosses,-2798000000.0
GainLossOnInvestmentSecurities,-2798000000.0
NetIncomeFromContinuingOperations,34343000000.0
